,Event time,min_a_price,max_b_price,a_quantity,b_quantity,volume_imbalance,mid_price,micro_price,Kline start time,Kline close time,Interval,Open price,Close price,High price,Low price,Base asset volume,Number of trades,Quote asset volume,Taker buy base asset volume,Taker buy quote asset volume
84,2024-05-19 22:45:27.001,66700.01,66700.0,11.37278,1.88746,-0.7153203863580148,66700.005,66700.00142339808,,,,,,,,,,,,
85,2024-05-19 22:45:28.002,66700.01,66700.0,11.34544,2.30027,-0.6628581436949782,66700.005,66700.00168570929,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.01,66712.94,66700.0,4.83571,496.0,322570.2995768,0.5261,35092.8937619
86,2024-05-19 22:45:29.001,66700.01,66700.0,10.38889,2.47765,-0.6148692655523551,66700.005,66700.00192565366,,,,,,,,,,,,
87,2024-05-19 22:45:30.001,66700.01,66700.0,10.39225,2.45986,-0.6172052682400011,66700.005,66700.00191397367,,,,,,,,,,,,
88,2024-05-19 22:45:31.001,66700.01,66694.21,10.39252,0.0001,-0.999980755574629,66697.11,66694.21005580884,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.0,66712.94,66700.0,5.8897,505.0,392871.4428102,1.54944,103349.6819953
89,2024-05-19 22:45:32.001,66700.01,66700.0,9.43778,3.00933,-0.5164612508445735,66700.005,66700.00241769373,,,,,,,,,,,,
90,2024-05-19 22:45:33.002,66700.01,66700.0,9.90707,3.51272,-0.47648659181701053,66700.005,66700.00261756704,,,,,,,,,,,,
91,2024-05-19 22:45:34.002,66700.01,66700.0,9.92569,2.84061,-0.554983041288392,66700.005,66700.00222508478,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.0,66712.94,66700.0,5.96569,509.0,397939.9758734,1.55576,103771.2260585
92,2024-05-19 22:45:35.002,66700.01,66700.0,10.30457,1.93428,-0.6839114786111441,66700.005,66700.00158044262,,,,,,,,,,,,
93,2024-05-19 22:45:36.002,66700.01,66700.0,10.31786,1.58374,-0.7338609934798681,66700.005,66700.00133069503,,,,,,,,,,,,
94,2024-05-19 22:45:37.002,66700.01,66700.0,10.31679,1.55778,-0.7376275519871457,66700.005,66700.00131186224,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.0,66712.94,66700.0,5.99264,511.0,399737.5408734,1.55576,103771.2260585
95,2024-05-19 22:45:38.002,66700.01,66700.0,10.31541,2.15875,-0.6538845100591945,66700.005,66700.00173057745,,,,,,,,,,,,
96,2024-05-19 22:45:39.002,66700.01,66692.7,10.31989,0.0,-1.0,66696.355,66692.7,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.01,66712.94,66700.0,6.03543,518.0,402591.6338807,1.55649,103819.9170658
97,2024-05-19 22:45:40.002,66700.01,66700.0,10.32092,2.15915,-0.6539843125879902,66700.005,66700.00173007844,,,,,,,,,,,,
98,2024-05-19 22:45:41.002,66700.01,66700.0,0.62203,8.40473,0.8621808932551658,66700.005,66700.00931090445,,,,,,,,,,,,
99,2024-05-19 22:45:42.002,66700.01,66700.0,2.75162,7.54734,0.46565090067346604,66700.005,66700.0073282545,,,,,,,,,,,,
100,2024-05-19 22:45:43.002,66700.01,66700.0,3.78633,4.26593,0.059560918301197426,66700.005,66700.00529780459,,,,,,,,,,,,
101,2024-05-19 22:45:44.002,66700.01,66700.0,3.88221,4.78432,0.1040912568236653,66700.005,66700.00552045628,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.0,66712.94,66700.0,6.19387,525.0,413159.5819346,1.56188,104179.4301197
102,2024-05-19 22:45:45.002,66700.01,66700.0,4.39106,3.85339,-0.06521599378976163,66700.005,66700.00467392003,,,,,,,,,,,,
103,2024-05-19 22:45:46.002,66700.01,66700.0,4.29342,3.86706,-0.05224692665137349,66700.005,66700.00473876536,,,,,,,,,,,,
104,2024-05-19 22:45:47.002,66700.01,66700.0,0.32751,9.4068,0.9327101766843258,66700.005,66700.00966355088,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.01,66712.94,66700.0,6.20191,531.0,413695.8499879,1.56721,104534.941173
105,2024-05-19 22:45:48.002,66700.01,66700.0,0.32752,9.3057,0.9320019681892452,66700.005,66700.00966000983,,,,,,,,,,,,
106,2024-05-19 22:45:49.002,66700.01,66705.38,0.0,8.74008,1.0,66702.695,66700.01,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.01,66712.94,66700.0,6.55706,553.0,437384.3575284,1.82126,121480.0787135
107,2024-05-19 22:45:50.003,66705.39,66716.15,0.0,7.11611,1.0,66710.76999999999,66705.39,,,,,,,,,,,,
108,2024-05-19 22:45:51.002,66716.16,66716.15,0.36398,7.11462,0.9026609258417352,66716.155,66716.15951330464,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66716.15,66716.15,66700.0,7.59424,602.0,506569.6190956,2.84786,189959.4943991
109,2024-05-19 22:45:52.003,66716.16,66716.15,0.36466,7.12059,0.9025657125680505,66716.155,66716.15951282857,,,,,,,,,,,,
110,2024-05-19 22:45:53.003,66716.16,66716.15,0.36585,7.09539,0.901933190729691,66716.155,66716.15950966596,,,,,,,,,,,,
111,2024-05-19 22:45:54.003,66716.16,66716.15,0.34634,7.09539,0.906919493182365,66716.155,66716.15953459746,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66716.16,66716.16,66700.0,7.61385,606.0,507877.9228019,2.84834,189991.5181559
112,2024-05-19 22:45:55.003,66716.16,66716.15,0.27141,7.81539,0.9328757975960824,66716.155,66716.159664379,,,,,,,,,,,,
113,2024-05-19 22:45:56.003,66716.16,66716.15,0.28332,7.81483,0.9300284632909985,66716.155,66716.1596501423,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66716.16,66716.16,66700.0,7.77825,616.0,518846.0595059,3.01274,200959.6548599
114,2024-05-19 22:45:57.003,66716.16,66716.15,0.22659,7.74594,0.9431573164353098,66716.155,66716.15971578658,,,,,,,,,,,,
115,2024-05-19 22:45:58.003,66716.16,66716.15,0.26889,7.75326,0.9329631083936352,66716.155,66716.15966481554,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66716.16,66716.16,66700.0,7.99234,630.0,533129.3211921,3.12601,208516.5943031
116,2024-05-19 22:45:59.003,66716.16,66716.15,1.3752,7.13846,0.6769427014938347,66716.155,66716.1583847135,,,,,,,,,,,,
117,2024-05-19 22:46:00.003,66716.16,66716.15,4.07432,2.07086,-0.3260213695937304,66716.155,66716.15336989315,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66716.16,66716.16,66700.0,8.17102,664.0,545050.1645548,3.29408,219729.5793143
118,2024-05-19 22:46:01.003,66716.16,66716.15,5.50603,0.34224,-0.8829602600427133,66716.155,66716.15058519869,,,,,,,,,,,,
119,2024-05-19 22:46:02.003,66716.16,66716.15,5.39159,1.03624,-0.6775770361070531,66716.155,66716.15161211482,,,,,,,,,,,,
120,2024-05-19 22:46:03.003,66716.16,66716.06,5.38672,0.0,-1.0,66716.11,66716.06,2024-05-19 22:46:00.000000,2024-05-19 22:46:59.999000,1m,66716.15,66716.16,66716.16,66716.15,0.33414,36.0,22292.5366148,0.22538,15036.4881408
121,2024-05-19 22:46:04.003,66716.16,66716.15,6.22792,0.77218,-0.7793802945672206,66716.155,66716.15110309853,,,,,,,,,,,,
122,2024-05-19 22:46:05.003,66715.6,66716.15,8.66777,0.0,-1.0,66715.875,66716.15,2024-05-19 22:46:00.000000,2024-05-19 22:46:59.999000,1m,66716.15,66716.15,66716.16,66716.15,1.61351,53.0,107647.1891951,1.40086,93459.9998976
123,2024-05-19 22:46:06.003,66715.6,66715.59,8.6955,0.78787,-0.8338417672198807,66715.595,66715.59083079116,,,,,,,,,,,,
124,2024-05-19 22:46:07.003,66715.6,66715.59,8.75078,0.48752,-0.8944567723498912,66715.595,66715.59052771612,2024-05-19 22:46:00.000000,2024-05-19 22:46:59.999000,1m,66716.15,66715.59,66716.16,66715.59,1.66031,61.0,110769.5025658,1.40114,93478.6802656
125,2024-05-19 22:46:08.003,66715.6,66715.59,8.77247,0.48644,-0.8949249965708707,66715.595,66715.59052537502,,,,,,,,,,,,
126,2024-05-19 22:46:09.003,66715.6,66715.59,8.84107,0.38072,-0.9174303470367466,66715.595,66715.59041284825,2024-05-19 22:46:00.000000,2024-05-19 22:46:59.999000,1m,66716.15,66715.59,66716.16,66715.59,1.71489,67.0,114410.8394739,1.40173,93518.0424696
127,2024-05-19 22:46:10.003,66715.6,66715.59,8.76944,0.37306,-0.9183899371069181,66715.595,66715.59040805031,,,,,,,,,,,,
128,2024-05-19 22:46:11.004,66715.6,66715.59,8.77742,0.29924,-0.9340638516811252,66715.595,66715.59032968074,,,,,,,,,,,,
129,2024-05-19 22:46:12.004,66715.01,66715.59,9.57729,0.0,-1.0,66715.29999999999,66715.59,,,,,,,,,,,,
130,2024-05-19 22:46:13.004,66715.01,66715.0,9.98796,0.39204,-0.9244624277456648,66715.005,66715.00037768787,,,,,,,,,,,,
131,2024-05-19 22:46:14.004,66715.01,66715.0,10.03582,0.33134,-0.9360789261475658,66715.005,66715.00031960537,2024-05-19 22:46:00.000000,2024-05-19 22:46:59.999000,1m,66716.15,66715.0,66716.16,66715.0,2.3885,133.0,159351.062309,1.49189,99533.1209656
132,2024-05-19 22:46:15.004,66715.01,66715.0,10.07502,0.70026,-0.8700247232554513,66715.005,66715.00064987638,,,,,,,,,,,,
133,2024-05-19 22:46:16.004,66715.01,66715.0,9.69889,1.32987,-0.758835988814699,66715.005,66715.00120582005,2024-05-19 22:46:00.000000,2024-05-19 22:46:59.999000,1m,66716.15,66715.0,66716.16,66715.0,2.3916,135.0,159557.878809,1.49189,99533.1209656
134,2024-05-19 22:46:17.004,66715.01,66715.0,9.96608,1.56076,-0.7291955123867425,66715.005,66715.00135402245,,,,,,,,,,,,
135,2024-05-19 22:46:18.004,66715.01,66715.0,10.18483,1.14488,-0.7978977396597088,66715.005,66715.0010105113,2024-05-19 22:46:00.000000,2024-05-19 22:46:59.999000,1m,66716.15,66715.0,66716.16,66715.0,2.4153,141.0,161139.0243124,1.49223,99555.804069
136,2024-05-19 22:46:19.004,66715.01,66715.0,9.98291,1.1329,-0.7961642021589072,66715.005,66715.00101917899,,,,,,,,,,,,
137,2024-05-19 22:46:20.004,66715.01,66715.0,9.98116,1.13095,-0.7964472993877849,66715.005,66715.0010177635,,,,,,,,,,,,
